Source,Target,Type,Id,Label,Weight,distance (km)
New York (JFK),London (LHR),Directed,41,,1,5567
Los Angeles (LAX),Tokyo (NRT),Directed,42,,1,8770
Dubai (DXB),Sydney (SYD),Directed,43,,1,12040
Singapore (SIN),Paris (CDG),Directed,44,,1,10730
Hong Kong (HKG),San Francisco (SFO),Directed,45,,1,11130
Chicago (ORD),Frankfurt (FRA),Directed,46,,1,6980
Toronto (YYZ),Dubai (DXB),Directed,47,,1,11090
Mumbai (BOM),London (LHR),Directed,48,,1,7180
Delhi (DEL),New York (JFK),Directed,49,,1,11770
Bangkok (BKK),Melbourne (MEL),Directed,50,,1,7400
Istanbul (IST),Los Angeles (LAX),Directed,51,,1,11010
Shanghai (PVG),Chicago (ORD),Directed,52,,1,11250
Madrid (MAD),Miami (MIA),Directed,53,,1,7100
Seoul (ICN),Toronto (YYZ),Directed,54,,1,10600
Johannesburg (JNB),Amsterdam (AMS),Directed,55,,1,9050
Rio de Janeiro (GIG),Lisbon (LIS),Directed,56,,1,7700
Mexico City (MEX),Madrid (MAD),Directed,57,,1,9100
Beijing (PEK),London (LHR),Directed,58,,1,8130
Cape Town (CPT),Dubai (DXB),Directed,59,,1,7640
Sydney (SYD),Los Angeles (LAX),Directed,60,,1,12050
Jakarta (CGK),Doha (DOH),Directed,61,,1,7320
Berlin (BER),New York (JFK),Directed,62,,1,6370
Kuala Lumpur (KUL),London (LHR),Directed,63,,1,10530
Zurich (ZRH),San Francisco (SFO),Directed,64,,1,9400
Sao Paulo (GRU),New York (JFK),Directed,65,,1,7730
Athens (ATH),Dubai (DXB),Directed,66,,1,3260
Cairo (CAI),Toronto (YYZ),Directed,67,,1,9150
Manila (MNL),Hong Kong (HKG),Directed,68,,1,1140
Hanoi (HAN),Seoul (ICN),Directed,69,,1,2740
Lisbon (LIS),Paris (CDG),Directed,70,,1,1450
Moscow (SVO),Bangkok (BKK),Directed,71,,1,7080
Buenos Aires (EZE),Madrid (MAD),Directed,72,,1,10120
Warsaw (WAW),New York (JFK),Directed,73,,1,6870
Oslo (OSL),Dubai (DXB),Directed,74,,1,5270
Lima (LIM),Los Angeles (LAX),Directed,75,,1,6680
Stockholm (ARN),Beijing (PEK),Directed,76,,1,7180
Brussels (BRU),Chicago (ORD),Directed,77,,1,6660
Rome (FCO),New York (JFK),Directed,78,,1,6870
Boston (BOS),Dublin (DUB),Directed,79,,1,4800
Vienna (VIE),Tokyo (NRT),Directed,80,,1,9370
Bangkok (BKK),Dubai (DXB),Directed,81,,1,4880
